artist,collaborators,followers
Carin Leon,Grupo Frontera,
Grupo Frontera,"Yahritza Y Su Esencia, Carin Leon, Grupo Marca Registrada, Bad Bunny, Fuerza Regida, Peso Pluma",
Arijit Singh,"Sachin-Jigar, Amitabh Bhattacharya, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Amitabha Bhattacharya, Pritam, Vishal-Shekhar, Kumaar",
Vishal Dadlani,"Shilpa Rao, Sukriti Kakar, Arijit Singh, Shekhar Ravjiani, Vishal-Shekhar, Caralisa Monteiro, Kumaar",
Sukriti Kakar,"Vishal Dadlani, Arijit Singh, Shekhar Ravjiani, Vishal-Shekhar, Kumaar",
Vishal-Shekhar,"Shilpa Rao, Sukriti Kakar, Vishal Dadlani, Arijit Singh, Shekhar Ravjiani, Caralisa Monteiro, Kumaar",
Shekhar Ravjiani,"Shilpa Rao, Sukriti Kakar, Vishal Dadlani, Arijit Singh, Vishal-Shekhar, Caralisa Monteiro, Kumaar",
Kumaar,"Shilpa Rao, Sukriti Kakar, Vishal Dadlani, Arijit Singh, Shekhar Ravjiani, Vishal-Shekhar, Caralisa Monteiro",
Sog,"Peso Pluma, Ryan Castro",
Ryan Castro,"Sog, Peso Pluma",
Peso Pluma,"Bizarrap, Becky G, BLESSD, Fuerza Regida, Natanael Cano, Eslabon Armado, Gabito Ballesteros, Sog, Yng Lvcas, Grupo Frontera, Ryan Castro, Junior H, Luis R Conriquez",
Mc Pedrinho,"Pedro Sampaio, DJ 900",
DJ 900,Mc Pedrinho,
Post Malone,"Roddy Ricch, The Weeknd, Doja Cat, Swae Lee",
Karol G,"Romeo Santos, Shakira, Maldy, Ovy On The Drums, Quevedo, Becky G",
Troye Sivan,,
Offset,"Metro Boomin, Lil Wayne, Swae Lee, JID",
JID,"Offset, League of Legends, Imagine Dragons, Arcane",
NewJeans,,
Taylor Swift,"Ed Sheeran, Lana Del Rey, Ice Spice",
Billie Eilish,Khalid,
Natanael Cano,"Gabito Ballesteros, Fuerza Regida, Peso Pluma",
The Weeknd,"21 Savage, Tyler, Daft Punk, Playboi Carti, Future, Swedish House Mafia, Doja Cat, Metro Boomin, Ariana Grande, Lil Wayne, Post Malone, Gesaffelstein, Rosalia, The Creator, Lana Del Rey, Madonna",
Morgan Wallen,"Lil Durk, Eric Church",
WizKid,"Don Toliver, Beam, Toian, Metro Boomin, Kyla, Drake",
Toian,"Metro Boomin, Beam, Don Toliver, WizKid",
Metro Boomin,"A$AP Rocky, Beam, NAV, A Boogie Wit da Hoodie, Lil Uzi Vert, Offset, Future, 21 Savage, The Weeknd, Young Thug, Roisee, Travis Scott, Don Toliver, Toian, Lil Wayne, Coi Leray, Chris Brown, WizKid, John Legend, James Blake, Swae Lee",
Don Toliver,"WizKid, SZA, Beam, Toian, Metro Boomin, Justin Bieber, Future",
Beam,"Metro Boomin, Don Toliver, Toian, WizKid",
Kendrick Lamar,"Sam Dew, Jay Rock, Tanna Leone, Taylour Paige, Beth Gibbons, Beyonce, Kodak Black, Blxst, Summer Walker, Ghostface Killah, Baby Keem, Amanda Reifer, Sampha",
Beth Gibbons,Kendrick Lamar,
RM,Colde,
Colde,RM,
Future,"Lil Uzi Vert, Chris Brown, Tems, Don Toliver, The Weeknd, Gunna, Metro Boomin, Drake, Young Thug, Justin Bieber",
Lil Uzi Vert,"Metro Boomin, sped up nightcore, ARIZONATEARS, Future",
Jung Kook,"Latto, Charlie Puth, FIFA Sound, BTS",
James Blake,Metro Boomin,
Mc Livinho,DJ Matt D,
DJ Matt D,Mc Livinho,
Ed Sheeran,"Fireboy DML, J Balvin, Camila Cabello, Elton John, Taylor Swift",
Semicenk,Doï¿½ï¿½u,
Maria Becerra,"FMK, J Balvin, NICKI NICOLE, Duki, Lit Killah, Tiago pzk, Big One, Rusherking, Emilia, Tini",
Lil Durk,"Morgan Wallen, Kanye West, J. Cole, Cardi B",
Ice Spice,"PinkPantheress, Aqua, Nicki Minaj, Taylor Swift",
Yandel,Feid,
