artist_name,collaborators,followers,total_songs
Ed Sheeran,"Fireboy DML, J Balvin, Camila Cabello, Elton John, Taylor Swift",114360924,
Taylor Swift,"Ed Sheeran, Lana Del Rey, Ice Spice",112943132,
Arijit Singh,"Sachin-Jigar, Amitabh Bhattacharya, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Amitabha Bhattacharya, Pritam, Vishal-Shekhar, Kumaar",112274134,
Ariana Grande,The Weeknd,96958214,
Billie Eilish,Khalid,95292754,
Drake,"Travis Scott, Tems, 21 Savage, WizKid, DJ Khaled, Lil Baby, Project Pat, Kyla, Young Thug, Future",90019263,
Eminem,"Nate Dogg, Dr. Dre, Dina Rae, Dido",85424764,
The Weeknd,"21 Savage, Tyler, Daft Punk, Playboi Carti, Future, Swedish House Mafia, Doja Cat, Metro Boomin, Ariana Grande, Lil Wayne, Post Malone, Gesaffelstein, Rosalia, The Creator, Lana Del Rey, Madonna",84742929,
Bad Bunny,"Julieta Venegas, J Balvin, Arcangel, Nio Garcia, Tony Dize, Rauw Alejandro, Eladio Carrion, Sech, Jhay Cortez, Daddy Yankee, Nengo Flow, Buscabulla, Gorillaz, The MarÃ¯Â¿Â½Ã¯, Mora, Aventura, Grupo Frontera, Tainy, Chencho Corleone",82230522,
Justin Bieber,"Don Toliver, Daniel Caesar, The Kid Laroi, Giveon, Future",75403229,
BTS,"Charlie Puth, Snoop Dogg, Coldplay, Halsey, Jung Kook, Benny Blanco, FIFA Sound",73536301,
Rihanna,Calvin Harris,60420649,
Bruno Mars,"Silk Sonic, Anderson .Paak",56031290,
Adele,,55836346,
Imagine Dragons,"Arcane, League of Legends, JID",52787370,
Coldplay,"The Chainsmokers, BTS",50852534,
Queen,,49998665,
Selena Gomez,,49894165,
BLACKPINK,,49289876,
Karol G,"Romeo Santos, Shakira, Maldy, Ovy On The Drums, Quevedo, Becky G",47164010,
XXXTENTACION,Kanye West,45102051,
Post Malone,"Roddy Ricch, The Weeknd, Doja Cat, Swae Lee",44180276,
Dua Lipa,"Megan Thee Stallion, DaBaby, Calvin Harris, Pnau, Sean Paul, Young Thug, Elton John",43646423,
Shawn Mendes,Camila Cabello,42735906,
Maroon 5,Wiz Khalifa,41667919,
Beyonce,Kendrick Lamar,37934986,
Olivia Rodrigo,,36734973,
Ozuna,"Feid, Shakira, Tiago pzk",36663897,
J Balvin,"Nio Garcia, Ed Sheeran, Bad Bunny, Maria Becerra",36594688,
Lana Del Rey,"The Weeknd, Taylor Swift",35938821,
Anuel Aa,"Mambo Kingz, Chris Jedi, Myke Towers, Jhay Cortez, DJ Luian, Nengo Flow, Chencho Corleone",35925699,
One Direction,,35215296,
Juice WRLD,Marshmello,33951210,
Daddy Yankee,Bad Bunny,33893724,
Maluma,,33844348,
Marshmello,"Khalid, Manuel Turizo, Jonas Brothers, Juice WRLD",33645828,
Katy Perry,Alesso,33334176,
Shakira,"Bizarrap, Rauw Alejandro, Ozuna, David Guetta, Karol G, Black Eyed Peas",33202367,
Camila Cabello,"Ed Sheeran, Shawn Mendes, Willow",33191164,
Pritam,"Amitabh Bhattacharya, Arijit Singh",32748243,
Harry Styles,,32316706,
Sidhu Moose Wala,,32090451,
Nicki Minaj,"Lil Baby, Aqua, Ice Spice",31370614,
Guns N' Roses,,30832380,
Doja Cat,"The Weeknd, SZA, Post Malone, Tyga",30100456,
Lady Gaga,Bradley Cooper,30100083,
Travis Scott,"21 Savage, SZA, Metro Boomin, Drake, Young Thug",29984927,
Kendrick Lamar,"Sam Dew, Jay Rock, Tanna Leone, Taylour Paige, Beth Gibbons, Beyonce, Kodak Black, Blxst, Summer Walker, Ghostface Killah, Baby Keem, Amanda Reifer, Sampha",29919588,
Sia,,28015877,
Metallica,,27275101,
Demi Lovato,,26476646,
Kanye West,"Cardi B, XXXTENTACION, Alicia Keys, Lil Durk, Fivio Foreign",25637749,
David Guetta,"Bebe Rexha, Becky Hill, Shakira, Anne-Marie, Ella Henderson, Coi Leray, Black Eyed Peas",25585124,
Linkin Park,,25532052,
Arctic Monkeys,,24963235,
Miley Cyrus,,24098289,
Cardi B,"Kanye West, Lil Durk",23967343,
