artist(s)_name,collaborators,followers,total_songs,artist_popularity
Ed Sheeran,"Fireboy DML, J Balvin, Camila Cabello, Elton John, Taylor Swift",114360924,,88
Taylor Swift,"Ed Sheeran, Lana Del Rey, Ice Spice",112943132,,100
Arijit Singh,"Sachin-Jigar, Amitabh Bhattacharya, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Amitabha Bhattacharya, Pritam, Vishal-Shekhar, Kumaar",112274134,,90
Ariana Grande,The Weeknd,96958214,,91
Billie Eilish,Khalid,95292754,,95
Drake,"Travis Scott, Tems, 21 Savage, WizKid, DJ Khaled, Lil Baby, Project Pat, Kyla, Young Thug, Future",90019263,,96
Eminem,"Nate Dogg, Dr. Dre, Dina Rae, Dido",85424764,,93
The Weeknd,"21 Savage, Tyler, Daft Punk, Playboi Carti, Future, Swedish House Mafia, Doja Cat, Metro Boomin, Ariana Grande, Lil Wayne, Post Malone, Gesaffelstein, Rosalia, The Creator, Lana Del Rey, Madonna",84742929,,95
Bad Bunny,"Julieta Venegas, J Balvin, Arcangel, Nio Garcia, Tony Dize, Rauw Alejandro, Eladio Carrion, Sech, Jhay Cortez, Daddy Yankee, Nengo Flow, Buscabulla, Gorillaz, The MarÃ¯Â¿Â½Ã¯, Mora, Aventura, Grupo Frontera, Tainy, Chencho Corleone",82230522,,95
Justin Bieber,"Don Toliver, Daniel Caesar, The Kid Laroi, Giveon, Future",75403229,,90
BTS,"Charlie Puth, Snoop Dogg, Coldplay, Halsey, Jung Kook, Benny Blanco, FIFA Sound",73536301,,87
Rihanna,Calvin Harris,60420649,,91
Bruno Mars,"Silk Sonic, Anderson .Paak",56031290,,93
Adele,,55836346,,88
Imagine Dragons,"Arcane, League of Legends, JID",52787370,,89
Coldplay,"The Chainsmokers, BTS",50852534,,91
Queen,,49998665,,86
Selena Gomez,,49894165,,82
BLACKPINK,,49289876,,81
Karol G,"Romeo Santos, Shakira, Maldy, Ovy On The Drums, Quevedo, Becky G",47164010,,92
XXXTENTACION,Kanye West,45102051,,88
Post Malone,"Roddy Ricch, The Weeknd, Doja Cat, Swae Lee",44180276,,93
Dua Lipa,"Megan Thee Stallion, DaBaby, Calvin Harris, Pnau, Sean Paul, Young Thug, Elton John",43646423,,88
Shawn Mendes,Camila Cabello,42735906,,84
Maroon 5,Wiz Khalifa,41667919,,86
Beyonce,Kendrick Lamar,37934986,,87
Olivia Rodrigo,,36734973,,88
Ozuna,"Feid, Shakira, Tiago pzk",36663897,,87
J Balvin,"Nio Garcia, Ed Sheeran, Bad Bunny, Maria Becerra",36594688,,88
Lana Del Rey,"The Weeknd, Taylor Swift",35938821,,92
Anuel Aa,"Mambo Kingz, Chris Jedi, Myke Towers, Jhay Cortez, DJ Luian, Nengo Flow, Chencho Corleone",35925699,,88
One Direction,,35215296,,85
Juice WRLD,Marshmello,33951210,,88
Daddy Yankee,Bad Bunny,33893724,,87
Maluma,,33844348,,86
Marshmello,"Khalid, Manuel Turizo, Jonas Brothers, Juice WRLD",33645828,,84
Katy Perry,Alesso,33334176,,86
Shakira,"Bizarrap, Rauw Alejandro, Ozuna, David Guetta, Karol G, Black Eyed Peas",33202367,,86
Camila Cabello,"Ed Sheeran, Shawn Mendes, Willow",33191164,,82
Pritam,"Amitabh Bhattacharya, Arijit Singh",32748243,,88
Harry Styles,,32316706,,84
Sidhu Moose Wala,,32090451,,78
Nicki Minaj,"Lil Baby, Aqua, Ice Spice",31370614,,86
Guns N' Roses,,30832380,,80
Doja Cat,"The Weeknd, SZA, Post Malone, Tyga",30100456,,86
Lady Gaga,Bradley Cooper,30100083,,90
Travis Scott,"21 Savage, SZA, Metro Boomin, Drake, Young Thug",29984927,,94
Kendrick Lamar,"Sam Dew, Jay Rock, Tanna Leone, Taylour Paige, Beth Gibbons, Beyonce, Kodak Black, Blxst, Summer Walker, Ghostface Killah, Baby Keem, Amanda Reifer, Sampha",29919588,,92
Sia,,28015877,,85
Metallica,,27275101,,83
Demi Lovato,,26476646,,78
Kanye West,"Cardi B, XXXTENTACION, Alicia Keys, Lil Durk, Fivio Foreign",25637749,,93
David Guetta,"Bebe Rexha, Becky Hill, Shakira, Anne-Marie, Ella Henderson, Coi Leray, Black Eyed Peas",25585124,,90
Linkin Park,,25532052,,91
Arctic Monkeys,,24963235,,87
Miley Cyrus,,24098289,,84
Cardi B,"Kanye West, Lil Durk",23967343,,80
Sam Smith,"Kim Petras, Calvin Harris, Jessie Reyez",23758151,,84
J. Cole,"Lil Durk, j-hope",23694022,,86
Avicii,,22785566,,81
Charlie Puth,"Jung Kook, BTS",22782681,,81
Paulo Londra,"Bizarrap, Feid",22705455,,78
Calvin Harris,"Dua Lipa, Justin Timberlake, Jessie Reyez, Halsey, Pharrell Williams, Ellie Goulding, Rihanna, Young Thug, Sam Smith",22592000,,87
Chris Brown,"Metro Boomin, Rvssian, Rauw Alejandro, Future",21970123,,88
Rauw Alejandro,"Chris Brown, Bizarrap, Lyanno, Shakira, Baby Rasta, Alvaro Diaz, Bad Bunny, Rvssian, Rosalia, Brray, Chencho Corleone",21938144,,90
