track_name,predicted_cumulative_streams_22-Aug
Takci,148796450.0
My heaven,149045460.0
Jhoome Jo Pathaan,159286200.0
Overdrive,155840260.0
S91,161986200.0
Better Than Revenge (Taylor's Version),155507200.0
Phantom Regret by Jim,150449580.0
Mother I Sober (feat. Beth Gibbons of Portishead),150775630.0
Mine (Taylor's Version),158374320.0
Savior - Interlude,150959200.0
Every Angel is Terrifying,150743260.0
Auntie Diaries,150974980.0
Back To December (Taylor's Version),159307220.0
Enchanted (Taylor's Version),165242620.0
Rich - Interlude,151138720.0
A Tale By Quincy,151014720.0
Crown,151323200.0
Mirror,152362610.0
Stefania (Kalush Orchestra),151885400.0
Still Life,151972800.0
Dawn FM,151793810.0
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),154271230.0
Mr. Morale,152562800.0
MOJABI GHOST,170441090.0
Worldwide Steppers,152510930.0
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",161193020.0
Hits Different,158931870.0
We Cry Together,153199570.0
The Heart Part 5,153392700.0
Starry Eyes,153485500.0
Purple Hearts,153659260.0
Savior,154391460.0
I Heard You're Married (feat. Lil Wayne),154015280.0
Double Fantasy (with Future),158453150.0
Best Friends,155066820.0
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),197051260.0
How Do I Make You Love Me?,156454110.0
Bigger Than The Whole Sky,158496260.0
Silent Hill,156751710.0
Count Me Out,160097740.0
Father Time (feat. Sampha),157991780.0
"Apna Bana Le (From ""Bhediya"")",163247970.0
The Joker And The Queen (feat. Taylor Swift),158348370.0
Tormenta (feat. Bad Bunny),159152030.0
AMARGURA,187787710.0
Satranga,161804220.0
United In Grief,162286880.0
Chemical,177295580.0
Rich Spirit,162829700.0
"Would've, Could've, Should've",163206560.0
The Great War,163846030.0
All Of The Girls You Loved Before,168531040.0
Sweet Nothing,163573380.0
Labyrinth,163648700.0
Less Than Zero,164353890.0
MIENTRAS ME CURO DEL CORA,173608370.0
Mastermind,167547140.0
Chaleya,167929740.0
Question...?,164627570.0
Shayad,168573090.0
Die Hard,166135260.0
Heeriye,165750720.0
Agosto,165818500.0
Coco Chanel,174061180.0
Vigilante Shit,170573700.0
X SI VOLVEMOS,176806830.0
Cooped Up (with Roddy Ricch),166175790.0
Agar Tum Saath Ho,171638180.0
Un Verano Sin Ti,168491070.0
Aguacero,167350940.0
CAIRO,173467460.0
N95,172637060.0
WHERE SHE GOES,188995980.0
Gato de Noche,171907790.0
Me Fui de Vacaciones,168608830.0
La Zona,169110930.0
Yo No Soy Celoso,168791170.0
Maroon,173769860.0
Snow On The Beach (feat. Lana Del Rey),171984060.0
Sacrifice,169485310.0
Bejeweled,178583650.0
Dos Mil 16,172183300.0
Out of Time,173404260.0
Andrea,172672110.0
"You're On Your Own, Kid",181578510.0
"Kesariya (From ""Brahmastra"")",177268340.0
Is There Someone Else?,186773140.0
Un Coco,178867580.0
Karma,192848450.0
Un Ratito,176145620.0
Take My Breath,158543840.0
Midnight Rain,185337980.0
La Corriente,181357280.0
Lavender Haze,188415520.0
un x100to,207130690.0
Die For You - Remix,200931660.0
AM Remix,179617280.0
La Jumpa,188406140.0
One Right Now (with The Weeknd),183295870.0
family ties (with Kendrick Lamar),193821090.0
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),196513920.0
august,214232600.0
Tarot,190306660.0
I Like You (A Happier Song) (with Doja Cat),195151180.0
Volando - Remix,187387570.0
Stargirl Interlude,210818880.0
Moth To A Flame (with The Weeknd),198582560.0
Party,188822140.0
TQG,208486620.0
Enchanted,193819580.0
Neverita,195306600.0
You Right,195344060.0
Volvi,192014960.0
Reminder,206734160.0
A Tu Merced,191804420.0
Lost in the Fire,199348430.0
After Hours,202172290.0
I Was Never There,205982720.0
MAMIII,201112690.0
La Santa,200439230.0
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),199941570.0
Style,218479260.0
Cruel Summer,288705400.0
cardigan,225781780.0
Creepin',226733730.0
Lover,232813890.0
PROVENZA,218017980.0
Moscow Mule,212469470.0
Anti-Hero,241081120.0
Efecto,223415100.0
Money Trees,236285020.0
Shake It Off,230473500.0
Save Your Tears (with Ariana Grande) (Remix),239667330.0
Yonaguni,228517760.0
Titi Me Pregunto,236786720.0
Callaita,232234820.0
Blank Space,256720830.0
LA CANCION,249975060.0
Me Porto Bonito,256272830.0
Call Out My Name,254389170.0
Save Your Tears,268308480.0
Die For You,287537100.0
Dakiti,265856960.0
HUMBLE.,283488580.0
The Hills,288114600.0
Circles,299764600.0
Starboy,357460320.0
Sunflower - Spider-Man: Into the Spider-Verse,360985380.0
Blinding Lights,426245200.0
