track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,revenue,Initial_royalty_fee,genre,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,bpm,key,Unnamed: 26,in_shazam_charts,Genre
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762,21,110,21,9,16.572,1.66e-09,,Major,49,78,64,19,0,11,4,162,A#,,71,Romantic
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,1365184,13,78,2,0,8191.104,8.19e-07,,Major,82,62,74,10,0,33,7,105,G,,0,Pop
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388,17,29,26,3,69596.328,6.96e-06,,Major,79,92,89,5,0,6,5,97,,,208,Pop
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,5,2,30,2,71739.846,7.17e-06,,Minor,93,68,65,42,0,12,25,133,B,,66,Hip-Hop
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,31,1,88682.55,8.87e-06,,Major,56,48,73,0,0,35,4,140,C#,,26,Pop
S91,Karol G,1,2023,7,14,525,41,16011326,34,115,39,6,96067.956,9.61e-06,,Minor,86,42,72,59,0,9,19,128,,,216,Hip-Hop
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,135486.966,1.35e-05,,Minor,74,35,84,0,0,11,6,126,F,,294,Pop
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653,3,3,6,0,149853.918,1.5e-05,,Major,83,25,69,4,0,23,12,143,B,,0,Hip-Hop
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,8,166,4,4,177373.32,1.77e-05,,Minor,81,53,72,51,0,12,5,134,E,,34,Pop
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,3,33,3,0,182059.236,1.82e-05,,Minor,50,67,89,0,0,19,8,146,B,,1,Pop
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,80,227,95,24,183281.298,1.83e-05,,Major,44,14,9,96,0,10,3,78,,,"1,173",
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,7,76,3,1,191241.264,1.91e-05,,Minor,81,90,77,1,0,9,5,128,A,,93,Romantic
Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571,1,1,3,0,191757.426,1.92e-05,,Minor,46,23,48,75,30,14,4,108,A,,0,Rock
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,1,2023,3,3,166,0,32526947,2,10,0,0,195161.682,1.95e-05,,Major,53,32,66,38,0,9,3,125,,,0,
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689,3,10,3,0,196570.134,1.97e-05,,Major,92,59,51,41,51,26,8,101,F,,0,
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13,1890,0,33381454,3,0,2,0,200288.724,2e-05,,Minor,49,50,37,87,0,11,35,140,G#,,0,Hip-Hop
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,34450974,5,9,0,0,206705.844,2.07e-05,,Major,53,61,81,5,0,36,4,148,,,0,Hip-Hop
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215,5,9,5,0,207013.29,2.07e-05,,Minor,54,19,48,36,0,37,5,145,B,,0,Hip-Hop
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,21,52,6,1,221472.738,2.21e-05,,Major,65,49,78,0,0,17,4,121,G,,0,Pop
Savior - Interlude,Kendrick Lamar,1,2022,5,13,1194,0,37091576,0,0,3,0,222549.456,2.23e-05,,Minor,66,83,43,84,0,19,19,118,F,,0,Rock
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685,5,17,5,0,222760.11,2.23e-05,,Minor,77,28,55,18,0,22,15,135,A,,0,Hip-Hop
Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,0,37307967,0,1,2,0,223847.802,2.24e-05,,Major,44,52,94,11,0,4,29,118,,,0,Rock
Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,0,37778188,1,0,4,0,226669.128,2.27e-05,,Major,43,60,38,76,1,48,38,78,G,,0,Hip-Hop
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,2,107,8,0,230471.736,2.3e-05,,Minor,53,34,47,9,0,83,4,88,C#,,0,Romantic
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561,2,106,4,2,234351.366,2.34e-05,,Major,77,79,62,33,1,15,3,116,B,,184,Pop
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16,72,5,0,235373.574,2.35e-05,,Major,50,20,64,1,0,12,3,142,D,,8,Romantic
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,8,2,237469.068,2.37e-05,,Major,51,22,53,1,0,15,3,82,G#,,5,Romantic
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245,1,20,5,0,237997.47,2.38e-05,,Major,59,26,60,46,1,25,13,81,F#,,1,Hip-Hop
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,9,6,25,2,238254.552,2.38e-05,,Major,63,36,34,76,0,35,9,130,F,,72,
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489,37,3,27,0,239360.934,2.39e-05,,Minor,50,44,76,10,0,32,5,176,F#,,50,Pop
