track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,revenue,Initial_royalty_fee,Genre,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,bpm,key,streamss,in_shazam_charts
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762,21,110,21,9,16.572,1.66E-09,Spanish Romantic,Major,49,78,64,19,0,11,4,162,A#,0,71
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,1365184,13,78,2,0,8191.104,8.19E-07,Indian Pop,Major,82,62,74,10,0,33,7,105,G,0,0
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388,17,29,26,3,69596.328,6.96E-06,Spanish Pop,Major,79,92,89,5,0,6,5,97,,0,208
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,5,2,30,2,71739.846,7.17E-06,Spanish Hip-Hop,Minor,93,68,65,42,0,12,25,133,B,0,66
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,31,1,88682.55,8.87E-06,Pop,Major,56,48,73,0,0,35,4,140,C#,0,26
S91,Karol G,1,2023,7,14,525,41,16011326,34,115,39,6,96067.956,9.61E-06,Spanish Hip-Hop,Minor,86,42,72,59,0,9,19,128,,1,216
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,135486.966,1.35E-05,Pop,Minor,74,35,84,0,0,11,6,126,F,1,294
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653,3,3,6,0,149853.918,1.50E-05,Hip-Hop,Major,83,25,69,4,0,23,12,143,B,1,0
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,8,166,4,4,177373.32,1.77E-05,K-pop,Minor,81,53,72,51,0,12,5,134,E,1,34
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,3,33,3,0,182059.236,1.82E-05,Pop,Minor,50,67,89,0,0,19,8,146,B,1,1
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,7,76,3,1,191241.264,1.91E-05,Romantic,Minor,81,90,77,1,0,9,5,128,A,1,93
