artist,collaborators,followers,total_songs_x,total_songs
Ed Sheeran,"Fireboy DML, J Balvin, Camila Cabello, Elton John, Taylor Swift",114360924,,14.0
Taylor Swift,"Ed Sheeran, Lana Del Rey, Ice Spice",112943132,,32.0
Arijit Singh,"Sachin-Jigar, Amitabh Bhattacharya, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Amitabha Bhattacharya, Pritam, Vishal-Shekhar, Kumaar",112274134,,10.0
Ariana Grande,The Weeknd,96958214,,4.0
Billie Eilish,Khalid,95292754,,5.0
Drake,"Travis Scott, Tems, 21 Savage, WizKid, DJ Khaled, Lil Baby, Project Pat, Kyla, Young Thug, Future",90019263,,19.0
Eminem,"Nate Dogg, Dr. Dre, Dina Rae, Dido",85424764,,9.0
The Weeknd,"21 Savage, Tyler, Daft Punk, Playboi Carti, Future, Swedish House Mafia, Doja Cat, Metro Boomin, Ariana Grande, Lil Wayne, Post Malone, Gesaffelstein, Rosalia, The Creator, Lana Del Rey, Madonna",84742929,,32.0
Bad Bunny,"Julieta Venegas, J Balvin, Arcangel, Nio Garcia, Tony Dize, Rauw Alejandro, Eladio Carrion, Sech, Jhay Cortez, Daddy Yankee, Nengo Flow, Buscabulla, Gorillaz, The MarÃ¯Â¿Â½Ã¯, Mora, Aventura, Grupo Frontera, Tainy, Chencho Corleone",82230522,,35.0
Justin Bieber,"Don Toliver, Daniel Caesar, The Kid Laroi, Giveon, Future",75403229,,7.0
BTS,"Charlie Puth, Snoop Dogg, Coldplay, Halsey, Jung Kook, Benny Blanco, FIFA Sound",73536301,,13.0
Rihanna,Calvin Harris,60420649,,2.0
Bruno Mars,"Silk Sonic, Anderson .Paak",56031290,,6.0
Adele,,55836346,,4.0
Imagine Dragons,"Arcane, League of Legends, JID",52787370,,5.0
Coldplay,"The Chainsmokers, BTS",50852534,,5.0
Queen,,49998665,,1.0
Selena Gomez,,49894165,,1.0
BLACKPINK,,49289876,,3.0
Karol G,"Romeo Santos, Shakira, Maldy, Ovy On The Drums, Quevedo, Becky G",47164010,,8.0
XXXTENTACION,Kanye West,45102051,,3.0
Post Malone,"Roddy Ricch, The Weeknd, Doja Cat, Swae Lee",44180276,,7.0
Dua Lipa,"Megan Thee Stallion, DaBaby, Calvin Harris, Pnau, Sean Paul, Young Thug, Elton John",43646423,,9.0
Shawn Mendes,Camila Cabello,42735906,,4.0
Maroon 5,Wiz Khalifa,41667919,,2.0
Beyonce,Kendrick Lamar,37934986,,4.0
Olivia Rodrigo,,36734973,,7.0
Ozuna,"Feid, Shakira, Tiago pzk",36663897,,2.0
J Balvin,"Nio Garcia, Ed Sheeran, Bad Bunny, Maria Becerra",36594688,,3.0
Lana Del Rey,"The Weeknd, Taylor Swift",35938821,,5.0
Anuel Aa,"Mambo Kingz, Chris Jedi, Myke Towers, Jhay Cortez, DJ Luian, Nengo Flow, Chencho Corleone",35925699,,3.0
One Direction,,35215296,,1.0
Juice WRLD,Marshmello,33951210,,3.0
Daddy Yankee,Bad Bunny,33893724,,3.0
Maluma,,33844348,,1.0
Marshmello,"Khalid, Manuel Turizo, Jonas Brothers, Juice WRLD",33645828,,3.0
Katy Perry,Alesso,33334176,,0.0
Shakira,"Bizarrap, Rauw Alejandro, Ozuna, David Guetta, Karol G, Black Eyed Peas",33202367,,4.0
Camila Cabello,"Ed Sheeran, Shawn Mendes, Willow",33191164,,3.0
Pritam,"Amitabh Bhattacharya, Arijit Singh",32748243,,1.0
Harry Styles,,32316706,,17.0
Sidhu Moose Wala,,32090451,,1.0
Nicki Minaj,"Lil Baby, Aqua, Ice Spice",31370614,,6.0
Guns N' Roses,,30832380,,1.0
Doja Cat,"The Weeknd, SZA, Post Malone, Tyga",30100456,,10.0
Lady Gaga,Bradley Cooper,30100083,,3.0
Travis Scott,"21 Savage, SZA, Metro Boomin, Drake, Young Thug",29984927,,6.0
